Designator,Mid X,Mid Y,Rotation,Layer
R116,98.552,-33.2232,0.0,top
R117,97.79,-96.393,180.0,top
R118,109.22,-96.139,90.0,top
R119,110.363,-96.139,90.0,top
R12,142.3924,-56.9468,0.0,top
R120,120.65,-53.213,270.0,top
R121,121.666,-110.363,315.0,top
R122,120.904,-111.125,315.0,top
R123,116.584,-79.751,180.0,top
R124,118.489,-79.751,180.0,top
R125,116.459,-81.28,270.0,top
R126,120.394,-79.751,180.0,top
R127,119.1768,-70.0024,180.0,top
R128,116.586,-71.2724,180.0,top
R129,118.489,-71.2724,180.0,top
R13,145.9484,-51.7144,0.0,top
R130,116.1288,-69.7992,90.0,top
R131,120.396,-72.2376,180.0,top
R132,124.968,-78.486,0.0,top
R133,124.968,-76.454,0.0,top
R134,122.936,-54.739,90.0,top
R135,126.111,-51.435,180.0,top
R136,124.968,-77.47,0.0,top
R137,124.968,-75.438,0.0,top
R138,149.098,-82.042,90.0,top
R139,149.098,-85.344,270.0,top
R14,135.001,-62.865,180.0,top
R140,167.0812,-83.6168,0.0,top
R141,167.0812,-85.1916,0.0,top
R142,120.523,-59.182,270.0,top
R143,117.602,-81.28,90.0,top
R144,117.1448,-69.7992,270.0,top
R145,167.132,-97.5868,0.0,top
R146,167.132,-99.1616,0.0,top
R15,138.684,-71.755,180.0,top
R16,141.0,-93.7,180.0,top
R17,141.859,-71.755,0.0,top
R18,148.1328,-60.325,180.0,top
R19,142.8496,-62.6364,180.0,top
R2,149.5064,-72.0344,180.0,top
R20,140.8684,-62.6364,180.0,top
R21,142.3924,-57.9628,0.0,top
R22,135.9408,-60.8076,0.0,top
R23,114.785,-96.901,0.0,top
R24,135.382,-56.4896,180.0,top
R25,135.382,-58.5216,180.0,top
R26,97.926,-58.68,90.0,top
R27,124.968,-73.406,0.0,top
R28,128.524,-84.867637,90.0,top
R29,96.529,-58.68,90.0,top
R3,141.8336,-59.2836,180.0,top
R30,97.926,-60.712,90.0,top
R31,123.952,-49.657,180.0,top
R32,126.111,-49.784,90.0,top
R33,127.127,-49.784,270.0,top
R34,126.492,-84.867637,90.0,top
R35,124.333,-52.07,90.0,top
R36,127.379,-77.47,180.0,top
R37,125.603,-52.959,90.0,top
R38,126.619,-52.959,270.0,top
R39,148.207,-99.949,0.0,top
R4,149.098,-49.6316,0.0,top
R40,124.079,-67.691,180.0,top
R41,135.382,-57.5056,180.0,top
R42,148.1328,-62.3824,0.0,top
R43,162.768872,-106.805,270.0,top
R44,160.3365,-106.805,270.0,top
R45,145.4912,-60.7568,270.0,top
R46,124.587,-56.515,90.0,top
R47,144.907,-65.278,90.0,top
R48,116.4844,-51.3588,180.0,top
R49,145.667,-99.949,180.0,top
R5,138.8872,-73.0504,0.0,top
R50,127.127,-67.818,180.0,top
R51,124.651,-66.548,180.0,top
R52,124.968,-71.374,0.0,top
R53,127.379,-71.374,180.0,top
R54,158.623,-59.436,270.0,top
R55,162.0012,-59.3344,180.0,top
R56,169.1132,-49.6824,0.0,top
R57,159.9184,-73.5076,90.0,top
R58,161.6964,-73.0504,0.0,top
R59,162.5092,-61.1632,90.0,top
R6,149.5064,-71.0184,0.0,top
R60,161.4424,-61.1632,90.0,top
R61,162.6108,-56.9976,0.0,top
R62,165.9128,-51.7144,0.0,top
R63,155.194,-62.865,180.0,top
R64,158.877,-71.755,180.0,top
R65,162.052,-71.755,0.0,top
R66,167.67,-60.325,180.0,top
R67,162.9664,-62.6872,180.0,top
R68,160.9852,-62.6872,180.0,top
R69,162.56,-58.0136,0.0,top
R7,141.859,-73.0504,0.0,top
R70,156.8196,-57.3532,0.0,top
R71,156.8196,-55.626,90.0,top
R72,154.7876,-55.626,90.0,top
R73,155.8036,-55.626,90.0,top
R74,168.0972,-62.865,90.0,top
R75,165.227,-60.833,270.0,top
R76,127.508,-84.867637,90.0,top
R77,165.1,-65.309,90.0,top
R78,125.476,-84.867637,90.0,top
R79,97.926,-67.57,90.0,top
R8,125.476,-87.122,90.0,top
R80,97.926,-69.602,90.0,top
R81,124.968,-72.39,0.0,top
R82,127.379,-73.406,180.0,top
R83,96.393,-67.57,90.0,top
R84,149.098,-51.689,180.0,top
R85,169.1132,-51.7144,180.0,top
R86,97.891,-49.79,90.0,top
R87,97.917,-76.452,90.0,top
R88,97.891,-51.822,270.0,top
R89,97.917,-78.484,90.0,top
R9,142.3924,-61.1124,90.0,top
R90,96.494,-49.79,90.0,top
R91,96.393,-76.452,90.0,top
R92,164.592,-79.711,180.0,top
R93,164.592,-80.727,180.0,top
R94,164.592,-93.709,180.0,top
R95,164.592,-94.725,180.0,top
R96,125.857,-56.007,270.0,top
R97,124.651,-58.039,180.0,top
R98,126.556,-66.548,180.0,top
R99,126.556,-58.039,180.0,top
SW1,109.982,-104.521,270.0,top
SW2,103.251,-104.521,270.0,top
U1,158.75,-86.696,90.0,top
U10,155.194,-67.183,0.0,top
U11,161.798,-67.214,180.0,top
U12,147.701,-56.007,180.0,top
U13,167.672,-56.007,180.0,top
U14,158.75,-100.694,90.0,top
U15,158.623,-79.965,90.0,top
U16,158.623,-93.963,90.0,top
U17,151.384,-83.439,270.0,top
U18,133.55,-110.7,180.0,top
U19,102.616,-95.123,270.0,top
U2,139.065,-86.36,90.0,top
U20,117.221,-90.678,90.0,top
U21,131.572,-58.039,0.0,top
U22,154.686,-51.816,270.0,top
U23,116.713,-64.465,180.0,top
U24,166.6748,-90.2716,180.0,top
U3,135.001,-67.183,0.0,top
U4,124.778,-62.292,180.0,top
U5,116.711,-75.5,180.0,top
U6,123.19,-91.948,270.0,top
U7,131.445,-51.181,90.0,top
U8,117.221,-56.388,0.0,top
U9,141.605,-67.183,180.0,top
Y2,149.987,-88.392,0.0,top
